PT. SINAR PURE FOODS INTERNATIONAL;;;;;;;;;;
Purchase Requisition Slip (PRS) Not Yet Purchase Order (PO);;;;;;;;;;
As Of February 11, 2026;;;;;;;;;;
;;;;;;;;;;
Canvasser Name: Erni Ending;;;;;;;;;;
Purchase Requisition Slip;;;Item;;;;;Department;;
16390;70460007691;15-11-2016;52675;KUAS TANGAN 3 INC;0,00;2,00;PC;7046;Engineering;
16419;70320007702;16-11-2016;10024;RED CHILI - BIG SIZE;266,00;210,00;KGS;7032;Fixed Fish Procurement;
16427;70460007708;20-11-2016;69051;SAND PAPER NO 120;0,00;5,00;LEMBAR;7046;Engineering;
16473;70440007735;28-11-2016;10020;LEMON GRASS/DAUN LEMON;0,00;2,40;KGS;7044;Quality Assurance;
16474;70440007735;28-11-2016;10021;YELOW GINGER LEAVE/DAUN KUNYIT;0,00;2,00;KGS;7044;Quality Assurance;
16481;70460007739;28-11-2016;50082;PAINT BRUSH 2.5;0,00;1,00;PCS;7046;Engineering;
16486;70460007741;29-11-2016;68448;S/S PLATE STRIP 3MM X 2 INC X 6MTR;0,00;15,00;LE;7046;Engineering;
16606;70460007790;16-12-2016;52109;Cat Kayu (Glow-Tex)  / Lem Kayu;0,00;1,00;Tins;7046;Engineering;
16607;70460007791;16-12-2016;65880;KUNCI PINTU + HANDLE DOOR, TYPE SOLID;0,00;1,00;SETS;7046;Engineering;
16690;70420007831;30-12-2016;90109;JOURNAL VOUCHER;0,00;5,00;REAMS;7042;Inventory Management;
16719;70440007846;06-01-2017;50982;LINT ROLLER;0,00;2,00;PCS;7044;Quality Assurance;
16720;70460007847;06-01-2017;00617;SL/C & TOOLS FOR ABSORB SEPTIC TANK POS SECURITY;2,00;1,00;TRIP;7046;Engineering;
16751;70440007864;09-01-2017;10066;SUGAR WHITE;0,00;3,70;KGS;7044;Quality Assurance;
16752;70440007864;09-01-2017;10015;ONION/BAWANG MERAH;0,00;0,70;KGS;7044;Quality Assurance;
16753;70440007864;09-01-2017;10014;GARLIC/BAWANG PUTIH;0,00;0,70;KGS;7044;Quality Assurance;
16754;70440007864;09-01-2017;10016;GINGER/JAHE;0,00;0,20;KGS;7044;Quality Assurance;
16755;70440007864;09-01-2017;10031;BAWANG BOMBAY;0,00;0,70;KGS;7044;Quality Assurance;
16756;70440007864;09-01-2017;10035;MUSHROOM KALENG ;0,00;12,00;KGS;7044;Quality Assurance;
16757;70440007864;09-01-2017;10032;SOYA SAUCE / KECAP ASIN;0,00;3,60;KG;7044;Quality Assurance;
16758;70440007864;09-01-2017;10033;VINEGAR/CUKA;0,00;1,00;KG;7044;Quality Assurance;
16759;70440007864;09-01-2017;10068;TAPIOKA;0,00;0,30;KGS;7044;Quality Assurance;
16760;70440007864;09-01-2017;10040;PALA BUBUK;0,00;0,02;KG;7044;Quality Assurance;
16761;70440007864;09-01-2017;10064;KECAP MANIS BOTOL;0,00;4,00;BTL;7044;Quality Assurance;
16762;70440007864;09-01-2017;50339;MERICA LADAKU;0,00;0,02;KGS;7044;Quality Assurance;
16763;70440007864;09-01-2017;10037;CABE RAWIT;0,00;0,30;KG;7044;Quality Assurance;
16764;70440007864;09-01-2017;10069;MAIZENA;0,00;0,48;KGS;7044;Quality Assurance;
16765;70440007865;09-01-2017;10066;SUGAR WHITE;0,00;1,20;KGS;7044;Quality Assurance;
16766;70440007865;09-01-2017;10014;GARLIC/BAWANG PUTIH;0,00;1,44;KGS;7044;Quality Assurance;
16767;70440007865;09-01-2017;10016;GINGER/JAHE;0,00;1,28;KGS;7044;Quality Assurance;
16768;70440007865;09-01-2017;50339;MERICA LADAKU;0,00;0,12;KGS;7044;Quality Assurance;
16769;70440007865;09-01-2017;10064;KECAP MANIS BOTOL;0,00;1,00;BTL;7044;Quality Assurance;
16770;70440007865;09-01-2017;10032;SOYA SAUCE / KECAP ASIN;0,00;1,00;KG;7044;Quality Assurance;
16771;70440007865;09-01-2017;10041;SAORI SAUS TIRAM;0,00;1,20;KG;7044;Quality Assurance;
16772;70440007865;09-01-2017;10036;JERUK;0,00;1,55;KGS;7044;Quality Assurance;
16773;70440007865;09-01-2017;10031;BAWANG BOMBAY;0,00;0,80;KGS;7044;Quality Assurance;
16774;70440007865;09-01-2017;10034;CABE HIJAU;0,00;4,00;KGS;7044;Quality Assurance;
16775;70440007865;09-01-2017;10015;ONION/BAWANG MERAH;0,00;2,00;KGS;7044;Quality Assurance;
16776;70440007866;09-01-2017;10066;SUGAR WHITE;0,00;0,40;KGS;7044;Quality Assurance;
16777;70440007866;09-01-2017;10015;ONION/BAWANG MERAH;0,00;1,00;KGS;7044;Quality Assurance;
16778;70440007866;09-01-2017;10014;GARLIC/BAWANG PUTIH;0,00;1,00;KGS;7044;Quality Assurance;
16779;70440007866;09-01-2017;10037;CABE RAWIT;0,00;0,50;KG;7044;Quality Assurance;
16780;70440007866;09-01-2017;10065;LAOS;0,00;0,50;KGS;7044;Quality Assurance;
16781;70440007866;09-01-2017;10019;YELOW GINGER/KUNYIT;0,00;0,80;KGS;7044;Quality Assurance;
16782;70440007866;09-01-2017;10062;DAUN SALAM;0,00;0,10;KGS;7044;Quality Assurance;
16783;70440007866;09-01-2017;10020;LEMON GRASS/DAUN LEMON;0,00;0,10;KGS;7044;Quality Assurance;
16784;70440007866;09-01-2017;10021;YELOW GINGER LEAVE/DAUN KUNYIT;0,00;0,30;KGS;7044;Quality Assurance;
16785;70440007866;09-01-2017;10026;BATANG SEREH;0,00;0,10;KGS;7044;Quality Assurance;
16786;70440007866;09-01-2017;10063;SANTAN KARA;0,00;8,00;KGS;7044;Quality Assurance;
16787;70440007866;09-01-2017;10018;CANDLENUT/KEMIRI;0,00;0,80;KGS;7044;Quality Assurance;
16788;70440007866;09-01-2017;10024;RED CHILI - BIG SIZE;0,00;0,20;KGS;7044;Quality Assurance;
16742;70460007859;09-01-2017;64993;POLLYCARBONATE @2 MTR X 11 MTR / ROLLS;0,00;1,00;ROLLS;7046;Engineering;
16743;70460007859;09-01-2017;60541;ROOFING SCREW 5MM X 2 @ `100PCS/ BOX;0,00;1,00;BOX;7046;Engineering;
16818;70440007883;13-01-2017;63295;ALUMINIUM FOIL @ 5MM X 120CM X 50MTR/ROLL;0,00;5,00;ROLLS;7044;Quality Assurance;
16821;70520007886;13-01-2017;90152;PLASTIC COVER (FS);0,00;12,00;PACK;7052;Finance;
16823;70460007888;14-01-2017;63295;ALUMINIUM FOIL @ 5MM X 120CM X 50MTR/ROLL;0,00;1,00;ROLLS;7046;Engineering;
16826;70460007891;16-01-2017;68414;PD 35 (BMT 0,30) A 680 P. 6,00 MTR FASCIA BLUE;0,00;6,00;SHEET;7046;Engineering;
16828;70560007893;16-01-2017;97201;Catridge Hp Laser Jet 1020;0,00;1,00;PC;7056;It;
16840;70440007896;17-01-2017;64190;REGULATOR LPG 12 KG;0,00;1,00;SET;7044;Quality Assurance;
16841;70460007897;17-01-2017;60740;MARINE PLYWOOD 6MM X 120 CM X 240 CM;0,00;24,00;SHTS;7046;Engineering;
16875;70460007916;20-01-2017;01018;SL/C FOR ABSORB SEPTIK TANK FEMALE TOILET;0,00;5,00;TRIP;7046;Engineering;
16896;70460007925;23-01-2017;61320;PEST SPRAYER BRAND SOLO;0,00;5,00;PCS;7046;Engineering;
16908;70460007933;24-01-2017;63222;SPRING AYUNAN / GANTUNGAN (DAUBLE SPRING);0,00;1,00;PCS;7046;Engineering;
16942;70460007950;30-01-2017;60852;RESIN;242,00;40,00;KGS;7046;Engineering;
16973;70440007967;01-02-2017;52615;STIKER 1.2.3;210,00;25,00;PACK;7044;Quality Assurance;
17009;70420007990;09-02-2017;91100;LEM POVINAL 117;1,00;12,00;BTL;7042;Inventory Management;
17043;70420008006;11-02-2017;53222;LEMON FRESH;0,00;50,00;LITERS;7042;Inventory Management;
17040;70460008003;11-02-2017;66610;DRILL BIT (MATA BOR BESI) 4 MM HSS NACHI;0,00;2,00;PC;7046;Engineering;
17055;70440008009;13-02-2017;10022;BASIL LEAVE/DAUN KEMANGI;20,00;40,00;KGS;7044;Quality Assurance;
17056;70440008009;13-02-2017;10020;LEMON GRASS/DAUN LEMON;1,20;2,40;KGS;7044;Quality Assurance;
17057;70440008009;13-02-2017;10021;YELOW GINGER LEAVE/DAUN KUNYIT;1,00;2,00;KGS;7044;Quality Assurance;
17074;70460008019;14-02-2017;01312;SL/C & TOOLS FOR BENDING HOLLO FOR PAGAR DI KOLAM ADMIN  ;0,00;2,00;UNIT;7046;Engineering;
17102;70420008034;17-02-2017;91279;Tinta Printer Epson L210 (T6641) Black;0,00;3,00;PCS;7042;Inventory Management;
17103;70420008034;17-02-2017;91280;Tinta Printer Epson L210 (T6642) Cyan;1,00;2,00;PCS;7042;Inventory Management;
17104;70420008034;17-02-2017;91281;Tinta Printer Epson L210 (T6643) Magenta;0,00;2,00;PCS;7042;Inventory Management;
17105;70420008034;17-02-2017;91282;Tinta Printer Epson L210 (T6644) Yellow;0,00;2,00;PCS;7042;Inventory Management;
17109;70460008037;20-02-2017;69086;ALUMINIUM PLATE 0,6MM X 120CM X 240CM;0,00;1,00;SHEET;7046;Engineering;
17244;70440008111;07-03-2017;10020;LEMON GRASS/DAUN LEMON;0,00;2,40;KGS;7044;Quality Assurance;
17316;70440008148;15-03-2017;90663;MOUSE KOMPUTER (MERK LOGITECH);0,00;2,00;PCS;7044;Quality Assurance;
17325;70440008157;17-03-2017;10027;KUNYIT BUBUK;0,00;2,00;KGS;7044;Quality Assurance;
17332;70420008164;20-03-2017;90750;BANTAL CAP FOR STAMPING CODE;0,00;5,00;PCS;7042;Inventory Management;
17355;70440008175;21-03-2017;10020;LEMON GRASS/DAUN LEMON;2,40;2,40;KGS;7044;Quality Assurance;
17361;70420008180;22-03-2017;91025;SPIDOL SNOWMAN WARNA SILVER;0,00;12,00;PCS;7042;Inventory Management;
17422;70440008208;29-03-2017;10020;LEMON GRASS/DAUN LEMON;0,00;3,60;KGS;7044;Quality Assurance;
17437;70460008210;29-03-2017;50195;KAIN KASA @ 10 MTR/ROLL;0,00;2,00;ROLL;7046;Engineering;
17439;70460008210;29-03-2017;60166;KACA BENING 6MM;0,00;15,60;M2;7046;Engineering;
17440;70460008211;29-03-2017;64813;KARET PENGANCING ACRYLIC 1/2 @50MTR/ROLL;-2,00;1,00;ROLL;7046;Engineering;
17442;70460008211;29-03-2017;64462;ENGSEL PINTU S/S 3;3,00;3,00;PCS;7046;Engineering;
17443;70460008211;29-03-2017;64624;KUNCI FOR PINTU ALUMINIUM;0,00;1,00;PCS;7046;Engineering;
17444;70460008211;29-03-2017;69017;DOOR CLOSER TYPE DORMA @ FOR 45KG TO 65KG;0,00;1,00;SETS;7046;Engineering;
17447;70460008211;29-03-2017;68398;TILES,  40CM X40CM (GRAY COLOR) GOOD QUALITY;0,00;10,00;DOSS;7046;Engineering;
17448;70460008211;29-03-2017;68443;LIS TILES ANTI SLIP @ 10CM X 40CM GRAY COLOR;0,00;26,00;PCS;7046;Engineering;
17450;70460008211;29-03-2017;68401;GROUT SIKA  GRAY COLOR @ 1KG/BOX;14,00;5,00;BOX;7046;Engineering;
17477;70440008218;30-03-2017;10037;CABE RAWIT;0,00;5,00;KG;7044;Quality Assurance;
17478;70440008218;30-03-2017;10034;CABE HIJAU;0,00;40,00;KGS;7044;Quality Assurance;
17484;70440008218;30-03-2017;10020;LEMON GRASS/DAUN LEMON;0,00;1,00;KGS;7044;Quality Assurance;
17540;70440008249;04-04-2017;10021;YELOW GINGER LEAVE/DAUN KUNYIT;0,00;3,00;KGS;7044;Quality Assurance;
17565;70420008256;05-04-2017;91025;SPIDOL SNOWMAN WARNA SILVER;0,00;24,00;PCS;7042;Inventory Management;
17587;70320008271;07-04-2017;91302;DEXTROMETHROPAN;0,00;2,00;BOX;7032;Fixed Fish Procurement;
17577;70480008267;07-04-2017;92566;TISSUE ROLL BESAR;0,00;5,00;PACK;7048;Human Resources Development;
17607;70460008274;08-04-2017;65880;KUNCI PINTU + HANDLE DOOR, TYPE SOLID;0,00;1,00;SETS;7046;Engineering;
17659;70460008296;15-04-2017;01201;S/LC & Tools for banding Pipa control Compressor Mycom (as per drawing);0,00;1,00;LOT;7046;Engineering;
17665;70460008298;17-04-2017;50043;MASKER HIDUNG GOOD QUALITY;0,00;7,00;DOS;7046;Engineering;
17677;70420008308;18-04-2017;91025;SPIDOL SNOWMAN WARNA SILVER;0,00;24,00;PCS;7042;Inventory Management;
17768;70420008342;26-04-2017;91025;SPIDOL SNOWMAN WARNA SILVER;0,00;30,00;PCS;7042;Inventory Management;
17782;70460008346;26-04-2017;60147;GRAVEL (KRIKIL) SPLIT 1/2;20,00;6,00;M3;7046;Engineering;
17897;70420008389;08-05-2017;20060;307 X 113 CAN OCEAN RISE YSB SPRING WATER;0,00;257.000,00;SETS;7042;Inventory Management;
17898;70420008389;08-05-2017;20058;307 x 113 CAN OCEAN RISE YSO;42.473,00;230.025,00;SETS;7042;Inventory Management;
17899;70420008389;08-05-2017;20059;307 X 113 CAN OCEAN RISE YSO CHILLY;0,00;253.000,00;SETS;7042;Inventory Management;
17904;70440008394;09-05-2017;52105;ALLERGEN TEST KIT;0,00;100,00;BOX;7044;Quality Assurance;
17921;70440008394;09-05-2017;52105;ALLERGEN TEST KIT;0,00;1,00;BOX;7044;Quality Assurance;
17918;70320008402;10-05-2017;10024;RED CHILI - BIG SIZE;396,00;155,00;KGS;7032;Fixed Fish Procurement;
17944;70420008412;15-05-2017;90007;BINDER CLIPS, 111 MIDDLE;3,00;20,00;DOS;7042;Inventory Management;
17985;70460008439;17-05-2017;61696;BALOK KAYU 5CM X 7CM X 4 MTR;-19,00;2,00;LE;7046;Engineering;
17981;70500008436;17-05-2017;50105;TEMPAT SAMPAH PAKAI PENUTUP;0,00;1,00;PCS;7050;Purchasing;
18017;70460008445;18-05-2017;68401;GROUT SIKA  GRAY COLOR @ 1KG/BOX;14,00;10,00;BOX;7046;Engineering;
18092;70420008496;27-05-2017;90255;CARTDRIDGE CANON iP 2770 BLACK (810);3,00;12,00;PCS;7042;Inventory Management;
18093;70420008496;27-05-2017;90256;CARTDRIDGE CANON iP 2770  COLOUR (811);7,00;12,00;PCS;7042;Inventory Management;
18197;70420008496;27-05-2017;91043;BATTERY ALKALINE AAA (A3);2,00;12,00;;7042;Inventory Management;
18126;70420008518;03-06-2017;56897;STAINLES SHIEVER ( AYAKAN STAINLESS ) BIG;0,00;5,00;PCS;7042;Inventory Management;
18147;70420008533;07-06-2017;92564;TISSUE ROLL PANJANG;3,00;12,00;PCS;7042;Inventory Management;
18180;70460008550;12-06-2017;00617;SL/C & TOOLS FOR ABSORB SEPTIC TANK POS SECURITY;2,00;1,00;TRIP;7046;Engineering;
18236;70460008584;22-06-2017;02554;SL/C TOOLS & MATERIALS FOR PERBAIKAN KEBOCORAN AC PRODUCTION OFFICE (TYPE SAMSUNG 2 PK));1,00;1,00;SET;7046;Engineering;
18291;70440008604;28-06-2017;10040;PALA BUBUK;0,00;0,19;KG;7044;Quality Assurance;
18302;70440008609;30-06-2017;51309;Gunting Rumput;0,00;1,00;Pcs;7044;Quality Assurance;
18305;70460008611;01-07-2017;69077;FILLTER NANO;0,00;5,00;PCS;7046;Engineering;
18366;70440008637;10-07-2017;10021;YELOW GINGER LEAVE/DAUN KUNYIT;0,00;3,00;KGS;7044;Quality Assurance;
18374;70460008640;11-07-2017;69427;PASIR COR (SAND);6,00;1,00;;7046;Engineering;
18375;70460008640;11-07-2017;69428;PASIR PLESTER (SAND);24,00;4,00;;7046;Engineering;
18400;70460008651;13-07-2017;62592;PAKU (NAIL) 4;0,00;5,00;KGS;7046;Engineering;
18473;70320008667;17-07-2017;10013;MSG;0,00;40,00;KGS;7032;Fixed Fish Procurement;
18503;70460008690;21-07-2017;67871;S/S SCREN, 10MM HOLLE @ 1,00MTR  x 50 MTR / ROLL;0,00;2,00;ROLL;7046;Engineering;
18507;70460008691;21-07-2017;54085;CAT JOTUN WARNA SILVER @ 1 KG/TIN;1,00;1,00;TIN;7046;Engineering;
18508;70460008691;21-07-2017;53257;THINNER NO 10 @ 5LTRS/TIN;3,00;1,00;TINS;7046;Engineering;
18509;70460008691;21-07-2017;50055;KUAS ROLL 20 CM;2,00;1,00;PCS;7046;Engineering;
18534;70440008705;24-07-2017;10065;LAOS;0,00;5,00;KGS;7044;Quality Assurance;
18536;70440008705;24-07-2017;10062;DAUN SALAM;0,00;1,00;KGS;7044;Quality Assurance;
18537;70440008705;24-07-2017;10020;LEMON GRASS/DAUN LEMON;0,00;1,00;KGS;7044;Quality Assurance;
18538;70440008705;24-07-2017;10021;YELOW GINGER LEAVE/DAUN KUNYIT;0,00;3,00;KGS;7044;Quality Assurance;
18564;70420008709;25-07-2017;95895;GUNTING KECIL;0,00;3,00;PCS;7042;Inventory Management;
18566;70420008709;25-07-2017;90203;CUTTER REFILL BIG ;0,00;2,00;PACK;7042;Inventory Management;
18567;70460008710;25-07-2017;65880;KUNCI PINTU + HANDLE DOOR, TYPE SOLID;0,00;1,00;SETS;7046;Engineering;
18625;70440008740;01-08-2017;10034;CABE HIJAU;0,00;40,00;KGS;7044;Quality Assurance;
18662;70460008749;02-08-2017;52442;PENUTUP GALLON AQUA;0,00;2.000,00;PCS;7046;Engineering;
18666;70440008752;03-08-2017;52410;PLASTIC CETIK  25 x 35;0,00;200,00;PCS;7044;Quality Assurance;
18734;70420008774;09-08-2017;40293;BARCODE STICKER FOR HOKO;38.000,00;215.424,00;PC;7042;Inventory Management;
18735;70460008775;09-08-2017;64462;ENGSEL PINTU S/S 3;0,00;3,00;PCS;7046;Engineering;
18752;70460008787;12-08-2017;01018;SL/C FOR ABSORB SEPTIK TANK FEMALE TOILET;0,00;1,00;TRIP;7046;Engineering;
18765;70460008796;16-08-2017;01003;SL/C  TOOLS  &  MATERIALS FOR PERBAIKAN PINTU KACA ALUMINIUM ;0,00;1,00;UNIT;7046;Engineering;
18818;70420008824;23-08-2017;52401;SUNLIGHT @ 800 ML;3,00;50,00;SCHT;7042;Inventory Management;
18819;70420008824;23-08-2017;51458;DETERGENT SURF;13,00;50,00;;7042;Inventory Management;
18832;70420008833;24-08-2017;40293;BARCODE STICKER FOR HOKO;38.000,00;63.000,00;PC;7042;Inventory Management;
18867;70320008846;28-08-2017;10024;RED CHILI - BIG SIZE;0,00;165,00;KGS;7032;Fixed Fish Procurement;
18908;70320008873;07-09-2017;10024;RED CHILI - BIG SIZE;0,00;100,00;KGS;7032;Fixed Fish Procurement;
18924;70320008884;12-09-2017;10024;RED CHILI - BIG SIZE;0,00;25,00;KGS;7032;Fixed Fish Procurement;
18960;70320008903;15-09-2017;10024;RED CHILI - BIG SIZE;0,00;500,00;KGS;7032;Fixed Fish Procurement;
18989;70320008924;20-09-2017;10024;RED CHILI - BIG SIZE;0,00;100,00;KGS;7032;Fixed Fish Procurement;
18988;70460008923;20-09-2017;64462;ENGSEL PINTU S/S 3;0,00;4,00;PCS;7046;Engineering;
18991;70460008926;20-09-2017;64462;ENGSEL PINTU S/S 3;0,00;4,00;PCS;7046;Engineering;
19013;70440008939;25-09-2017;10066;SUGAR WHITE;4,00;1,25;KGS;7044;Quality Assurance;
19014;70440008939;25-09-2017;10015;ONION/BAWANG MERAH;0,00;6,75;KGS;7044;Quality Assurance;
19015;70440008939;25-09-2017;10014;GARLIC/BAWANG PUTIH;0,00;3,75;KGS;7044;Quality Assurance;
19016;70440008939;25-09-2017;10016;GINGER/JAHE;0,00;1,88;KGS;7044;Quality Assurance;
19017;70440008939;25-09-2017;10018;CANDLENUT/KEMIRI;-3,00;4,25;KGS;7044;Quality Assurance;
19018;70440008939;25-09-2017;10037;CABE RAWIT;0,00;16,50;KG;7044;Quality Assurance;
19019;70440008939;25-09-2017;10024;RED CHILI - BIG SIZE;0,00;16,50;KGS;7044;Quality Assurance;
19027;70640008943;25-09-2017;90662;MOUSE OPTICAL;0,00;1,00;PCS;7064;Fixed Viand Tuna;
19050;70480008957;27-09-2017;92239;KASSA STERIL TERBUNGKUS;0,00;20,00;DOS;7048;Human Resources Development;
19051;70480008957;27-09-2017;92235;PERBAN LEBAR 5 CM;0,00;20,00;ROLL;7048;Human Resources Development;
19052;70480008957;27-09-2017;92237;PLESTER LEBAR 1.25 CM;0,00;20,00;ROLL;7048;Human Resources Development;
19053;70480008957;27-09-2017;92238;PLESTER CEPAT ;0,00;100,00;DOS;7048;Human Resources Development;
19055;70480008957;27-09-2017;92241;PENITI;0,00;120,00;PCS;7048;Human Resources Development;
19056;70480008957;27-09-2017;92242;SARUNG TANGAN SEKALI PAKAI;0,00;20,00;DOS;7048;Human Resources Development;
19057;70480008957;27-09-2017;92243;MASKER ( DUST MASK );0,00;20,00;PCS;7048;Human Resources Development;
19061;70480008957;27-09-2017;92247;KANTUNG PLASTIC BERSIH;0,00;10,00;PCS;7048;Human Resources Development;
19064;70480008957;27-09-2017;52001;ALKOHOL 70 %;0,00;10,00;BTL;7048;Human Resources Development;
19065;70480008957;27-09-2017;92250;BUKU PANDUAN P3K DITEMPAT KERJA;0,00;10,00;PCS;7048;Human Resources Development;
19106;70440008980;03-10-2017;10037;CABE RAWIT;0,00;58,00;KG;7044;Quality Assurance;
19118;70320008985;04-10-2017;50091;HIPRO 100 EC @ 500ML ( 1 BOX 20 BTL );11,00;3,00;BTL;7032;Fixed Fish Procurement;
19119;70320008986;04-10-2017;10024;RED CHILI - BIG SIZE;0,00;200,00;KGS;7032;Fixed Fish Procurement;
19144;70460008995;05-10-2017;01299;SL/C TOOLS & MATERIALS FOR PERBAIKAN LANTAI & PINTU MOBIL GRAND MAX;0,00;1,00;LOT;7034;Fixed Production;
19160;70440009003;09-10-2017;10024;RED CHILI - BIG SIZE;0,00;198,00;KGS;7044;Quality Assurance;
19248;70520009061;19-10-2017;90152;PLASTIC COVER (FS);0,00;12,00;PACK;7052;Finance;
19273;70320009073;20-10-2017;91302;DEXTROMETHROPAN;0,00;1,00;BOX;7032;Fixed Fish Procurement;
19336;70440009106;01-11-2017;10037;CABE RAWIT;0,00;6,00;KG;7044;Quality Assurance;
19337;70440009106;01-11-2017;10024;RED CHILI - BIG SIZE;0,00;66,00;KGS;7044;Quality Assurance;
19343;70460009111;02-11-2017;01335;SL/C. TOOLS & MATERIALS FOR PEMBUATAN & PEMASANGAN STECKER DI LISPLANK BANGUNAN TUNA VIAND;0,00;1,00;LOT;7063;Variable Viand Tuna;
19347;70320009114;03-11-2017;10024;RED CHILI - BIG SIZE;0,00;100,00;KGS;7032;Fixed Fish Procurement;
19363;70320009126;06-11-2017;10024;RED CHILI - BIG SIZE;0,00;20,00;KGS;7032;Fixed Fish Procurement;
19359;70420009123;06-11-2017;41014;LABELS 603 QUALITY BRAND;0,00;3.396,00;PCS;7042;Inventory Management;
19362;70420009125;06-11-2017;54210;PLASTIC SHRINK 4 TINS THICK 60 MICRON ;0,00;10.650,00;PCS;7042;Inventory Management;
19372;70440009128;06-11-2017;10020;LEMON GRASS/DAUN LEMON;0,00;1,20;KGS;7044;Quality Assurance;
19376;70440009129;06-11-2017;91162;FLASH DISC 4 GB;0,00;1,00;PCS;7044;Quality Assurance;
19388;70420009136;07-11-2017;01177;SL/C FOR PERBAIKAN PRINTER EPSON LQ210;0,00;1,00;UNIT;7042;Inventory Management;
19412;70420009152;09-11-2017;52014;SIKAT TANGAN (SIKAT BAJU);0,00;50,00;PCS;7042;Inventory Management;
19431;70440009165;13-11-2017;91235;FLASH DISC 8 GB;0,00;1,00;PC;7044;Quality Assurance;
19447;70420009170;15-11-2017;90596;CATRIDGE HP DESKJET 2060 BLACK (704);2,00;12,00;PCS;7042;Inventory Management;
19455;70440009173;15-11-2017;10024;RED CHILI - BIG SIZE;0,00;132,00;KGS;7044;Quality Assurance;
19463;70440009174;15-11-2017;10020;LEMON GRASS/DAUN LEMON;0,00;2,40;KGS;7044;Quality Assurance;
19502;70460009191;17-11-2017;69593;Milan Keramik Broken White (Ukuran 60X60 cm) ;0,00;8,00;DOS;7046;Engineering;
19585;70460009218;22-11-2017;61066;GRINDING WHEEL 7;0,00;10,00;PCS;7046;Engineering;
19597;70320009236;24-11-2017;10024;RED CHILI - BIG SIZE;0,00;60,00;KGS;7032;Fixed Fish Procurement;
19638;70420009253;28-11-2017;91333;NOAA FORM/FISHERIES CERTIFICATEEF ORIGIN;1,00;10,00;PADS;7042;Inventory Management;
19630;70420009255;28-11-2017;30587;TRAY SIRENA IN OIL WITH CHILI;0,00;3.480,00;PCS;7042;Inventory Management;
19670;70460009263;28-11-2017;52001;ALKOHOL 70 %;0,00;5,00;BTL;7046;Engineering;
19671;70460009263;28-11-2017;50542;MAJUN KATUN WARNA;50,00;5,00;KGS;7046;Engineering;
19705;70320009273;04-12-2017;90068;PUNCHER BIG;0,00;1,00;PCS;7032;Fixed Fish Procurement;
19706;70320009273;04-12-2017;90192;HP LASERJET 1020 TONER INK 12A;0,00;1,00;PCS;7032;Fixed Fish Procurement;
19726;70440009285;04-12-2017;10016;GINGER/JAHE;0,00;15,00;KGS;7044;Quality Assurance;
19729;70440009285;04-12-2017;10024;RED CHILI - BIG SIZE;-132,00;132,00;KGS;7044;Quality Assurance;
19745;70440009287;04-12-2017;10063;SANTAN KARA;0,00;80,00;KGS;7044;Quality Assurance;
19747;70440009287;04-12-2017;10024;RED CHILI - BIG SIZE;-132,00;2,00;KGS;7044;Quality Assurance;
19715;70460009282;04-12-2017;01009;SL/C & TOOLS FOR PANAMBAHAN KETINGIAN PAGAR DEPAN STAFF HOUSE;0,00;1,00;LOT;7048;Human Resources Development;
19798;70460009303;06-12-2017;50991;NIPPON MARINE PRIMER @ 5KG/TINS;2,00;1,00;TINS;7048;Human Resources Development;
19877;70440009332;11-12-2017;91930;CAP LOGO PT SPFI;0,00;1,00;PC;7044;Quality Assurance;
19930;70440009361;15-12-2017;10020;LEMON GRASS/DAUN LEMON;1,00;1,20;KGS;7044;Quality Assurance;
19931;70440009361;15-12-2017;10021;YELOW GINGER LEAVE/DAUN KUNYIT;3,00;1,00;KGS;7044;Quality Assurance;
19915;70460009357;15-12-2017;68416;PD 35 (BMT 0,30) A 680 P. 6,11 MTR FASCIA BLUE;0,00;50,00;SHEET;7034;Fixed Production;
19916;70460009357;15-12-2017;69069;PD 35 (BMT. 0,30) A 680 P. 10,05 MTR FASCIA BLUE;0,00;20,00;SHEET;7034;Fixed Production;
19957;70460009371;20-12-2017;01342;- SL/C, Mat?l & Tools for Packing 2 units Grinders, 1 unit Panel & 3 sets Pump  Eks Tricanter;0,00;1,00;LOT;7046;Engineering;
19961;70440009374;21-12-2017;90764;JAM DINDING MERK SEIKO;0,00;1,00;UNIT;7044;Quality Assurance;
19974;70420009381;22-12-2017;10002;SOYA BEAN OIL;15.510,00;21.000,00;KGS;7042;Inventory Management;
19976;70460009383;27-12-2017;63138;ROUND BAR 20mm (besi beton );0,00;2,00;LGTS;7046;Engineering;
19985;70320009390;29-12-2017;10024;RED CHILI - BIG SIZE;-132,00;300,00;KGS;7032;Fixed Fish Procurement;
19995;70420009393;03-01-2018;90597;CATRIDGE HP DESKJET 2060 WARNA;0,00;12,00;PCS;7042;Inventory Management;
19996;70420009393;03-01-2018;90596;CATRIDGE HP DESKJET 2060 BLACK (704);3,00;12,00;PCS;7042;Inventory Management;
20047;70420009417;09-01-2018;42150;LABEL SINAR IKAN TUNA BUMBU JAMUR;0,00;5.000,00;PCS;7042;Inventory Management;
20063;70460009427;10-01-2018;61211;HOLLOW ALUMUNIUM 5X7X6METER, TEBAL 2MM;0,00;65,00;LGTS;7044;Quality Assurance;
20073;70460009428;10-01-2018;01107;SL/C & Tools for fabrication VG Room Storage ;0,00;1,00;LOT;7044;Quality Assurance;
